session_id,user_id,device,region,channel,product_category,session_start,session_end,session_date,day_of_week,session_duration_mins,reached_browse,reached_cart,reached_checkout,reached_purchase,furthest_stage,furthest_stage_num,revenue,converted
SES-00015,USR-00015,Tablet,East,Social Media,Fashion,2026-01-06 08:08:01.5176900,2026-01-06 08:18:01.5176900,2026-01-06,Tuesday,10.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00016,USR-00016,Desktop,South,Social Media,Fashion,2025-12-18 18:11:38.2930640,2025-12-18 18:11:38.2930640,2025-12-18,Thursday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00017,USR-00017,Desktop,West,Google Ads,Beauty,2026-01-05 14:13:19.9092180,2026-01-05 14:17:19.9092180,2026-01-05,Monday,4.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00018,USR-00018,Tablet,South,Google Ads,Beauty,2025-12-14 02:38:25.1609340,2025-12-14 02:43:25.1609340,2025-12-14,Sunday,5.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00019,USR-00019,Tablet,South,Google Ads,Home,2025-12-27 12:25:16.8424940,2025-12-27 12:25:16.8424940,2025-12-27,Saturday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00020,USR-00020,Desktop,South,Email,Home,2025-12-12 09:10:14.6024290,2025-12-12 09:10:14.6024290,2025-12-12,Friday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00021,USR-00021,Desktop,East,Email,Fashion,2025-12-28 16:54:37.7004020,2025-12-28 17:02:37.7004020,2025-12-28,Sunday,8.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00022,USR-00022,Mobile,North,Organic,Beauty,2026-01-08 05:59:46.6060060,2026-01-08 06:03:46.6060060,2026-01-08,Thursday,4.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00023,USR-00023,Desktop,West,Organic,Sports,2025-12-14 05:00:09.7887560,2025-12-14 05:00:09.7887560,2025-12-14,Sunday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00024,USR-00024,Desktop,East,Email,Electronics,2026-01-01 09:16:10.0042040,2026-01-01 09:16:10.0042040,2026-01-01,Thursday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00025,USR-00025,Desktop,West,Organic,Electronics,2025-12-24 17:00:23.0816180,2025-12-24 17:04:23.0816180,2025-12-24,Wednesday,4.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00026,USR-00026,Mobile,East,Google Ads,Beauty,2025-12-11 00:49:12.6431370,2025-12-11 00:56:12.6431370,2025-12-11,Thursday,7.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00027,USR-00027,Mobile,North,Google Ads,Home,2025-12-26 23:02:47.5183840,2025-12-26 23:14:47.5183840,2025-12-26,Friday,12.000000,1,1,1,1,Purchase,4,201.08,Converted
SES-00028,USR-00028,Mobile,South,Social Media,Beauty,2026-01-07 16:41:23.5301700,2026-01-07 16:43:23.5301700,2026-01-07,Wednesday,2.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00029,USR-00029,Mobile,East,Email,Sports,2025-12-16 08:23:29.4030100,2025-12-16 08:23:29.4030100,2025-12-16,Tuesday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00030,USR-00030,Mobile,North,Social Media,Electronics,2025-12-31 23:43:46.0157890,2025-12-31 23:53:46.0157890,2025-12-31,Wednesday,10.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00031,USR-00031,Mobile,West,Social Media,Fashion,2025-12-15 14:27:36.6813710,2025-12-15 14:32:36.6813710,2025-12-15,Monday,5.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00032,USR-00032,Desktop,South,Organic,Beauty,2025-12-09 20:45:43.1044620,2025-12-09 20:45:43.1044620,2025-12-09,Tuesday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00033,USR-00033,Tablet,South,Social Media,Beauty,2026-01-08 03:05:26.7927990,2026-01-08 03:09:26.7927990,2026-01-08,Thursday,4.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00034,USR-00034,Tablet,East,Email,Electronics,2025-12-17 11:50:06.6241100,2025-12-17 11:50:06.6241100,2025-12-17,Wednesday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00035,USR-00035,Mobile,West,Organic,Fashion,2025-12-31 02:54:01.0558140,2025-12-31 02:59:01.0558140,2025-12-31,Wednesday,5.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00036,USR-00036,Tablet,South,Organic,Beauty,2025-12-26 02:31:35.5746670,2025-12-26 02:40:35.5746670,2025-12-26,Friday,9.000000,1,1,1,1,Purchase,4,141.85,Converted
SES-00037,USR-00037,Desktop,East,Email,Home,2025-12-31 10:33:10.0807940,2025-12-31 10:38:10.0807940,2025-12-31,Wednesday,5.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00038,USR-00038,Mobile,East,Social Media,Fashion,2025-12-26 23:50:24.6370060,2025-12-26 23:58:24.6370060,2025-12-26,Friday,8.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00039,USR-00039,Mobile,South,Social Media,Home,2025-12-10 06:32:18.9714720,2025-12-10 06:37:18.9714720,2025-12-10,Wednesday,5.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00040,USR-00040,Desktop,East,Organic,Home,2025-12-28 17:38:48.6821010,2025-12-28 17:38:48.6821010,2025-12-28,Sunday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00041,USR-00041,Desktop,North,Email,Home,2026-01-05 10:33:02.9751260,2026-01-05 10:33:02.9751260,2026-01-05,Monday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00042,USR-00042,Tablet,South,Organic,Fashion,2025-12-11 06:30:00.4718700,2025-12-11 06:34:00.4718700,2025-12-11,Thursday,4.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00043,USR-00043,Mobile,West,Organic,Electronics,2025-12-12 02:16:13.4123160,2025-12-12 02:24:13.4123160,2025-12-12,Friday,8.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00044,USR-00044,Desktop,North,Email,Beauty,2025-12-25 17:05:49.5143010,2025-12-25 17:09:49.5143010,2025-12-25,Thursday,4.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00045,USR-00045,Tablet,East,Social Media,Electronics,2025-12-28 14:59:51.0667170,2025-12-28 15:08:51.0667170,2025-12-28,Sunday,9.000000,1,1,1,1,Purchase,4,492.44,Converted
SES-00046,USR-00046,Desktop,North,Social Media,Home,2025-12-16 06:08:41.7035750,2025-12-16 06:18:41.7035750,2025-12-16,Tuesday,10.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00047,USR-00047,Tablet,East,Organic,Sports,2025-12-19 05:37:34.2648310,2025-12-19 05:41:34.2648310,2025-12-19,Friday,4.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00048,USR-00048,Mobile,West,Email,Home,2025-12-14 07:59:39.1580930,2025-12-14 08:02:39.1580930,2025-12-14,Sunday,3.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00049,USR-00049,Tablet,North,Email,Fashion,2026-01-01 22:36:53.9978650,2026-01-01 22:43:53.9978650,2026-01-01,Thursday,7.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00050,USR-00050,Tablet,South,Email,Beauty,2025-12-16 05:58:08.6717760,2025-12-16 06:03:08.6717760,2025-12-16,Tuesday,5.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00051,USR-00051,Mobile,East,Social Media,Home,2025-12-24 17:55:37.2728210,2025-12-24 17:59:37.2728210,2025-12-24,Wednesday,4.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00052,USR-00052,Tablet,South,Email,Home,2025-12-11 20:29:51.5293990,2025-12-11 20:34:51.5293990,2025-12-11,Thursday,5.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00053,USR-00053,Mobile,East,Google Ads,Electronics,2025-12-22 17:15:57.9597050,2025-12-22 17:27:57.9597050,2025-12-22,Monday,12.000000,1,1,1,1,Purchase,4,76.57,Converted
SES-00054,USR-00054,Desktop,East,Email,Sports,2025-12-11 14:16:58.6072590,2025-12-11 14:23:58.6072590,2025-12-11,Thursday,7.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00055,USR-00055,Mobile,North,Google Ads,Fashion,2026-01-06 02:32:52.5307260,2026-01-06 02:32:52.5307260,2026-01-06,Tuesday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00056,USR-00056,Tablet,North,Email,Fashion,2026-01-04 14:00:15.1437950,2026-01-04 14:02:15.1437950,2026-01-04,Sunday,2.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00057,USR-00057,Desktop,South,Google Ads,Electronics,2026-01-05 12:15:52.6258380,2026-01-05 12:26:52.6258380,2026-01-05,Monday,11.000000,1,1,1,1,Purchase,4,82.88,Converted
SES-00058,USR-00058,Tablet,West,Social Media,Fashion,2025-12-31 23:47:18.1928750,2025-12-31 23:47:18.1928750,2025-12-31,Wednesday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00059,USR-00059,Mobile,North,Social Media,Beauty,2025-12-11 16:34:18.8746660,2025-12-11 16:34:18.8746660,2025-12-11,Thursday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00060,USR-00060,Desktop,North,Social Media,Beauty,2025-12-12 10:27:24.7004450,2025-12-12 10:27:24.7004450,2025-12-12,Friday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00061,USR-00061,Desktop,North,Google Ads,Sports,2025-12-15 16:19:29.8727940,2025-12-15 16:19:29.8727940,2025-12-15,Monday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00062,USR-00062,Mobile,West,Social Media,Electronics,2025-12-19 15:44:13.4178900,2025-12-19 15:53:13.4178900,2025-12-19,Friday,9.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00063,USR-00063,Desktop,East,Email,Fashion,2025-12-14 12:44:58.8358490,2025-12-14 12:46:58.8358490,2025-12-14,Sunday,2.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00064,USR-00064,Mobile,West,Google Ads,Beauty,2026-01-07 12:11:20.4767940,2026-01-07 12:16:20.4767940,2026-01-07,Wednesday,5.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00065,USR-00065,Tablet,North,Social Media,Electronics,2025-12-19 19:47:26.2962150,2025-12-19 19:52:26.2962150,2025-12-19,Friday,5.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00066,USR-00066,Mobile,South,Organic,Beauty,2026-01-01 11:20:50.4355790,2026-01-01 11:23:50.4355790,2026-01-01,Thursday,3.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00067,USR-00067,Mobile,South,Social Media,Beauty,2025-12-26 05:34:33.0098890,2025-12-26 05:34:33.0098890,2025-12-26,Friday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00068,USR-00068,Mobile,East,Social Media,Electronics,2025-12-31 17:42:21.2336440,2025-12-31 17:48:21.2336440,2025-12-31,Wednesday,6.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00069,USR-00069,Tablet,West,Social Media,Sports,2025-12-23 08:46:00.3069420,2025-12-23 08:49:00.3069420,2025-12-23,Tuesday,3.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00070,USR-00070,Desktop,North,Email,Electronics,2025-12-23 04:21:54.5790430,2025-12-23 04:33:54.5790430,2025-12-23,Tuesday,12.000000,1,1,1,1,Purchase,4,107.64,Converted
SES-00071,USR-00071,Mobile,North,Email,Sports,2025-12-22 23:36:52.1511430,2025-12-22 23:36:52.1511430,2025-12-22,Monday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00072,USR-00072,Desktop,West,Social Media,Beauty,2025-12-11 21:36:52.0728260,2025-12-11 21:36:52.0728260,2025-12-11,Thursday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00073,USR-00073,Desktop,South,Social Media,Fashion,2026-01-07 20:58:49.7867610,2026-01-07 20:58:49.7867610,2026-01-07,Wednesday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00074,USR-00074,Mobile,South,Google Ads,Home,2026-01-03 02:09:34.0880160,2026-01-03 02:21:34.0880160,2026-01-03,Saturday,12.000000,1,1,1,1,Purchase,4,294.70,Converted
SES-00075,USR-00075,Tablet,South,Organic,Sports,2025-12-23 01:17:26.4514770,2025-12-23 01:27:26.4514770,2025-12-23,Tuesday,10.000000,1,1,1,1,Purchase,4,489.91,Converted
SES-00076,USR-00076,Tablet,North,Email,Beauty,2025-12-25 19:58:28.3133440,2025-12-25 19:58:28.3133440,2025-12-25,Thursday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00077,USR-00077,Tablet,North,Social Media,Fashion,2026-01-02 14:51:39.4134910,2026-01-02 15:01:39.4134910,2026-01-02,Friday,10.000000,1,1,1,1,Purchase,4,188.72,Converted
SES-00078,USR-00078,Desktop,North,Google Ads,Fashion,2025-12-21 17:22:28.5338290,2025-12-21 17:25:28.5338290,2025-12-21,Sunday,3.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00079,USR-00079,Tablet,South,Google Ads,Beauty,2025-12-28 01:25:52.1733060,2025-12-28 01:30:52.1733060,2025-12-28,Sunday,5.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00080,USR-00080,Desktop,North,Organic,Fashion,2025-12-25 14:03:30.6868980,2025-12-25 14:06:30.6868980,2025-12-25,Thursday,3.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00081,USR-00081,Desktop,North,Email,Home,2026-01-06 00:33:58.8191540,2026-01-06 00:40:58.8191540,2026-01-06,Tuesday,7.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00082,USR-00082,Tablet,South,Google Ads,Electronics,2026-01-02 15:43:54.1376660,2026-01-02 15:47:54.1376660,2026-01-02,Friday,4.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00083,USR-00083,Tablet,South,Organic,Fashion,2025-12-14 02:58:58.2178890,2025-12-14 03:02:58.2178890,2025-12-14,Sunday,4.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00084,USR-00084,Mobile,East,Google Ads,Fashion,2026-01-06 22:27:27.1984150,2026-01-06 22:27:27.1984150,2026-01-06,Tuesday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00085,USR-00085,Desktop,South,Email,Fashion,2025-12-28 02:08:49.5726070,2025-12-28 02:08:49.5726070,2025-12-28,Sunday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00086,USR-00086,Mobile,West,Social Media,Sports,2025-12-18 05:28:05.6164120,2025-12-18 05:32:05.6164120,2025-12-18,Thursday,4.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00087,USR-00087,Desktop,East,Social Media,Home,2026-01-04 16:13:48.0933090,2026-01-04 16:13:48.0933090,2026-01-04,Sunday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00088,USR-00088,Desktop,North,Social Media,Fashion,2025-12-27 07:49:08.6743210,2025-12-27 07:52:08.6743210,2025-12-27,Saturday,3.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00089,USR-00089,Desktop,North,Social Media,Electronics,2025-12-18 04:03:56.6502750,2025-12-18 04:03:56.6502750,2025-12-18,Thursday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00090,USR-00090,Tablet,North,Social Media,Home,2025-12-22 08:29:10.1662970,2025-12-22 08:31:10.1662970,2025-12-22,Monday,2.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00091,USR-00091,Desktop,West,Email,Fashion,2026-01-07 09:56:02.5180070,2026-01-07 09:56:02.5180070,2026-01-07,Wednesday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00092,USR-00092,Mobile,North,Organic,Fashion,2025-12-16 05:26:16.7611130,2025-12-16 05:29:16.7611130,2025-12-16,Tuesday,3.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00093,USR-00093,Tablet,West,Organic,Beauty,2026-01-01 06:28:45.0192750,2026-01-01 06:28:45.0192750,2026-01-01,Thursday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00094,USR-00094,Desktop,South,Social Media,Sports,2025-12-13 09:45:42.9958630,2025-12-13 09:45:42.9958630,2025-12-13,Saturday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00095,USR-00095,Desktop,West,Email,Sports,2025-12-13 00:40:03.4510210,2025-12-13 00:40:03.4510210,2025-12-13,Saturday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00096,USR-00096,Desktop,South,Email,Fashion,2026-01-03 15:59:44.6107070,2026-01-03 15:59:44.6107070,2026-01-03,Saturday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00097,USR-00097,Tablet,West,Social Media,Electronics,2026-01-06 14:51:16.5875180,2026-01-06 14:56:16.5875180,2026-01-06,Tuesday,5.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00098,USR-00098,Desktop,North,Email,Beauty,2026-01-06 21:09:55.0930600,2026-01-06 21:12:55.0930600,2026-01-06,Tuesday,3.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00099,USR-00099,Tablet,East,Google Ads,Electronics,2025-12-16 02:22:25.5847040,2025-12-16 02:25:25.5847040,2025-12-16,Tuesday,3.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00100,USR-00100,Desktop,West,Social Media,Fashion,2025-12-16 04:41:53.3184300,2025-12-16 04:45:53.3184300,2025-12-16,Tuesday,4.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00101,USR-00101,Mobile,East,Email,Home,2026-01-07 10:05:04.8268900,2026-01-07 10:10:04.8268900,2026-01-07,Wednesday,5.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00102,USR-00102,Mobile,South,Google Ads,Sports,2026-01-02 03:08:08.1640060,2026-01-02 03:08:08.1640060,2026-01-02,Friday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00103,USR-00103,Mobile,East,Google Ads,Beauty,2025-12-17 20:09:57.6725860,2025-12-17 20:17:57.6725860,2025-12-17,Wednesday,8.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00104,USR-00104,Desktop,West,Email,Fashion,2025-12-11 23:17:18.5632060,2025-12-11 23:21:18.5632060,2025-12-11,Thursday,4.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00105,USR-00105,Desktop,West,Email,Sports,2025-12-12 09:42:15.6572200,2025-12-12 09:42:15.6572200,2025-12-12,Friday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00106,USR-00106,Desktop,West,Organic,Sports,2026-01-07 19:22:00.3209010,2026-01-07 19:27:00.3209010,2026-01-07,Wednesday,5.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00107,USR-00107,Desktop,East,Social Media,Sports,2025-12-24 03:34:57.6121640,2025-12-24 03:34:57.6121640,2025-12-24,Wednesday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00108,USR-00108,Tablet,West,Email,Beauty,2025-12-20 16:20:36.0789980,2025-12-20 16:24:36.0789980,2025-12-20,Saturday,4.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00109,USR-00109,Desktop,East,Social Media,Fashion,2025-12-30 06:51:13.3179240,2025-12-30 06:57:13.3179240,2025-12-30,Tuesday,6.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00110,USR-00110,Mobile,South,Email,Sports,2025-12-16 20:18:16.0220460,2025-12-16 20:23:16.0220460,2025-12-16,Tuesday,5.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00111,USR-00111,Desktop,South,Organic,Home,2025-12-19 14:07:14.3980210,2025-12-19 14:16:14.3980210,2025-12-19,Friday,9.000000,1,1,1,1,Purchase,4,182.30,Converted
SES-00112,USR-00112,Tablet,South,Organic,Electronics,2026-01-02 01:02:08.5420920,2026-01-02 01:12:08.5420920,2026-01-02,Friday,10.000000,1,1,1,1,Purchase,4,143.79,Converted
SES-00113,USR-00113,Desktop,West,Organic,Home,2025-12-26 04:38:05.0614800,2025-12-26 04:43:05.0614800,2025-12-26,Friday,5.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00114,USR-00114,Desktop,North,Google Ads,Sports,2025-12-30 19:35:18.2469510,2025-12-30 19:41:18.2469510,2025-12-30,Tuesday,6.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00115,USR-00115,Tablet,West,Organic,Home,2025-12-18 17:30:42.6303220,2025-12-18 17:35:42.6303220,2025-12-18,Thursday,5.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00116,USR-00116,Mobile,South,Organic,Home,2025-12-10 22:07:00.7997910,2025-12-10 22:07:00.7997910,2025-12-10,Wednesday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00117,USR-00117,Mobile,East,Google Ads,Electronics,2025-12-12 14:41:55.5907860,2025-12-12 14:53:55.5907860,2025-12-12,Friday,12.000000,1,1,1,1,Purchase,4,326.92,Converted
SES-00118,USR-00118,Tablet,West,Email,Beauty,2025-12-27 14:10:39.1099740,2025-12-27 14:15:39.1099740,2025-12-27,Saturday,5.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00119,USR-00119,Mobile,West,Organic,Sports,2025-12-20 14:46:12.6671010,2025-12-20 14:51:12.6671010,2025-12-20,Saturday,5.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00120,USR-00120,Mobile,West,Organic,Home,2025-12-22 01:57:50.4319920,2025-12-22 01:57:50.4319920,2025-12-22,Monday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00121,USR-00121,Tablet,East,Google Ads,Electronics,2025-12-25 18:25:07.8673370,2025-12-25 18:25:07.8673370,2025-12-25,Thursday,0.000000,1,0,0,0,Browse,1,0.00,Not Converted
SES-00122,USR-00122,Desktop,South,Organic,Electronics,2025-12-30 15:49:46.5222780,2025-12-30 15:54:46.5222780,2025-12-30,Tuesday,5.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00123,USR-00123,Mobile,West,Social Media,Electronics,2025-12-29 08:46:38.6855900,2025-12-29 08:52:38.6855900,2025-12-29,Monday,6.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00124,USR-00124,Tablet,North,Organic,Fashion,2025-12-13 07:41:58.3475120,2025-12-13 07:45:58.3475120,2025-12-13,Saturday,4.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00125,USR-00125,Mobile,West,Google Ads,Sports,2025-12-16 05:31:49.1587710,2025-12-16 05:43:49.1587710,2025-12-16,Tuesday,12.000000,1,1,1,1,Purchase,4,312.52,Converted
SES-00126,USR-00126,Tablet,East,Social Media,Home,2025-12-28 09:12:18.9901850,2025-12-28 09:16:18.9901850,2025-12-28,Sunday,4.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00127,USR-00127,Mobile,South,Email,Sports,2025-12-30 16:55:34.3496790,2025-12-30 16:57:34.3496790,2025-12-30,Tuesday,2.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00128,USR-00128,Mobile,West,Email,Electronics,2025-12-10 22:48:15.8479360,2025-12-10 22:53:15.8479360,2025-12-10,Wednesday,5.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00129,USR-00129,Tablet,East,Organic,Sports,2025-12-24 13:03:44.2780040,2025-12-24 13:10:44.2780040,2025-12-24,Wednesday,7.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00130,USR-00130,Tablet,South,Email,Home,2026-01-07 22:59:51.5007440,2026-01-07 23:03:51.5007440,2026-01-07,Wednesday,4.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00131,USR-00131,Mobile,North,Google Ads,Fashion,2026-01-01 06:14:31.3504590,2026-01-01 06:19:31.3504590,2026-01-01,Thursday,5.000000,1,1,1,0,Checkout,3,0.00,Not Converted
SES-00132,USR-00132,Tablet,East,Social Media,Home,2025-12-18 12:20:16.6593150,2025-12-18 12:22:16.6593150,2025-12-18,Thursday,2.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00133,USR-00133,Tablet,East,Email,Sports,2025-12-30 09:01:29.0027510,2025-12-30 09:06:29.0027510,2025-12-30,Tuesday,5.000000,1,1,0,0,Browse,2,0.00,Not Converted
SES-00134,USR-00134,Mobile,South,Google Ads,Fashion,2025-12-15 02:02:32.9026300,2025-12-15 02:08:32.9026300,2025-12-15,Monday,6.000000,1,1,1,0,Checkout,3,0.00,Not Converted
